X,Y,SUM(Correlation)
Product,UnAdjSubSidy,-0.0002100420669619168
Product,UnappliedInt,0.013291902900980203
Product,ProvUnsecured,0.022413703605291588
Product,TotalWriteOff,0.008988714368262433
Product,AppropriatedRv,-0.001433316921566536
Product,OrgCostOfEquip,0.05437268153781642
Product,TotLimitFunded,0.05001377328147904
Product,Cust_AssetClass,0.01858888494452447
Product,LimitSanctioned,0.043394767261937174
Product,PriCashSecurity,0.0015297849708665002
Product,CollCashSecurity,0.01237303240713818
Product,CollNonCRMSecurity,-0.0010100299457205207
Product,NextOneYrFacStatus,0.031516669732266474
Product,OrgCostOfPlantMech,0.015774657630319516
TotOsNF,Age,0.0013353414873362164
TotOsNF,CAD,-0.00006958450032229057
TotOsNF,UsedRv,0.007621088174218325
TotOsNF,Balance,0.00965435343933233
TotOsNF,Product,0.001439851172781233
TotOsNF,TotOsNF,1
TotOsNF,AdhocAmt,0.002517405507093456
TotOsNF,InttRate,0.006348304519301696
TotOsNF,InttType,0.0019299742991826779
TotOsNF,TotalAdv,0.07289257990596276
TotOsNF,CURQTRINT,0.009941507034304735
TotOsNF,GLProduct,-0.0007577402433160817
TotOsNF,PRVQTRINT,0.008526816040176886
TotOsNF,RvPrimary,0.00023893691264811876
TotOsNF,Unsecured,-0.00044747261805137085
TotOsNF,CoverGovGur,-0.000006698385442601994
TotOsNF,DepValPlant,0.0011602785389787874
TotOsNF,ACCTotalProv,0.0008702392819095856
TotOsNF,BaselCatMark,-0.0011446932843197533
TotOsNF,CURRENTLIMIT,0.01807783575972132
TotOsNF,CurQtrCredit,0.0808757891691492
TotOsNF,DRAWINGPOWER,-0.000004505776917466928
TotOsNF,PREQTRCREDIT,0.0014615732439352493
TotOsNF,UnAdjSubSidy,-0.000007983708720529793
TotOsNF,UnappliedInt,-0.000025289842045589175
TotOsNF,ProvUnsecured,-0.00011867188165794334
TotOsNF,TotalWriteOff,-0.00001766272106041399
TotOsNF,AppropriatedRv,0.00044918762319150733
TotOsNF,OrgCostOfEquip,0.060281173948731774
TotOsNF,TotLimitFunded,0.016936262963564066
TotOsNF,Cust_AssetClass,-0.0008689100532548379
TotOsNF,LimitSanctioned,0.012151325568007472
TotOsNF,PriCashSecurity,0.00002293527980440152
TotOsNF,CollCashSecurity,-0.000013971606999832356
TotOsNF,CollNonCRMSecurity,0.0012584015503217195
TotOsNF,NextOneYrFacStatus,-0.0012995668089383558
TotOsNF,OrgCostOfPlantMech,0.050042781442011276
AdhocAmt,Age,-0.0003370299025216539
AdhocAmt,CAD,-0.00006839185907684712
AdhocAmt,UsedRv,0.030626991559713584
AdhocAmt,Balance,0.033535849768271085
AdhocAmt,Product,0.00760189808601148
AdhocAmt,TotOsNF,0.002517405507093456
AdhocAmt,AdhocAmt,1
AdhocAmt,InttRate,0.008968917826501974
AdhocAmt,InttType,0.006538396169798965
AdhocAmt,TotalAdv,0.01657839777114879
AdhocAmt,CURQTRINT,0.030770287073117797
AdhocAmt,GLProduct,0.0005775482845939359
AdhocAmt,PRVQTRINT,0.0224795270488463
AdhocAmt,RvPrimary,0.0001347453389898334
AdhocAmt,Unsecured,-0.00044927930931355054
AdhocAmt,CoverGovGur,-0.000006583578686516009
AdhocAmt,DepValPlant,-0.000019364912321155213
AdhocAmt,ACCTotalProv,0.000735153758384397
AdhocAmt,BaselCatMark,0.0022185766532157782
AdhocAmt,CURRENTLIMIT,0.030269936227552054
AdhocAmt,CurQtrCredit,0.024430020193335875
AdhocAmt,DRAWINGPOWER,-0.0000043715686787696775
AdhocAmt,PREQTRCREDIT,0.0007196196022387613
AdhocAmt,UnAdjSubSidy,-0.000007846872208544976
AdhocAmt,UnappliedInt,-0.00002484635361416642
AdhocAmt,ProvUnsecured,-0.00011672744348873998
AdhocAmt,TotalWriteOff,-0.000017359991436086553
AdhocAmt,AppropriatedRv,0.0001449759464691138
AdhocAmt,OrgCostOfEquip,0.0011119592152716436
AdhocAmt,TotLimitFunded,0.027890369116939026
AdhocAmt,Cust_AssetClass,-0.0008553286230994064
AdhocAmt,LimitSanctioned,0.02583223500680066
AdhocAmt,PriCashSecurity,0.00007604127718479943
AdhocAmt,CollCashSecurity,0.00009180395925581211
AdhocAmt,CollNonCRMSecurity,0.00008058999674950529
AdhocAmt,NextOneYrFacStatus,0.0006517587317765026
AdhocAmt,OrgCostOfPlantMech,0.0024876412477458547
InttRate,Age,0.006480751937326195
InttRate,CAD,0.026839154223467162
InttRate,UsedRv,0.08898903717137967
InttRate,Balance,0.09423028255498621
InttRate,Product,0.2553241990991788
InttRate,TotOsNF,0.006348304519301696
InttRate,AdhocAmt,0.008968917826501974
InttRate,InttRate,1
InttRate,InttType,0.25057531184921855
InttRate,TotalAdv,0.06486927581261616
InttRate,CURQTRINT,0.10247502844650101
InttRate,GLProduct,0.15950914450358
InttRate,PRVQTRINT,0.12426529849692614
InttRate,RvPrimary,0.0011588066475002197
InttRate,Unsecured,0.05662830216054078
InttRate,CoverGovGur,0.003751101144620796
InttRate,DepValPlant,0.004493113303343599
InttRate,ACCTotalProv,0.06956182519538044
InttRate,BaselCatMark,0.1897241345517503
InttRate,CURRENTLIMIT,0.1048653696174225
InttRate,CurQtrCredit,0.025826451297467194
InttRate,DRAWINGPOWER,0.004509726586249723
InttRate,PREQTRCREDIT,0.0010116811688205252
InttRate,UnAdjSubSidy,0.00360701000066165
InttRate,UnappliedInt,0.025621465012302416
InttRate,ProvUnsecured,0.0435387038826993
InttRate,TotalWriteOff,0.012980105461364487
InttRate,AppropriatedRv,0.0006059867068555117
InttRate,OrgCostOfEquip,0.03659353562266448
InttRate,TotLimitFunded,0.12043836971715537
InttRate,Cust_AssetClass,0.17197781344860566
InttRate,LimitSanctioned,0.08982414711724424
InttRate,PriCashSecurity,0.0014033238809269643
InttRate,CollCashSecurity,0.009375518405373597
InttRate,CollNonCRMSecurity,0.001865094627431358
InttRate,NextOneYrFacStatus,0.1807399425535505
InttRate,OrgCostOfPlantMech,0.018437382709563084
InttType,Age,0.02249007538023211
InttType,CAD,-0.00033334638321128805
InttType,UsedRv,0.018968854743075175
InttType,Balance,0.019137812541605136
InttType,Product,0.3855236054694282
InttType,TotOsNF,0.0019299742991826779
InttType,AdhocAmt,0.006538396169798965
InttType,InttRate,0.25057531184921855
InttType,InttType,1
InttType,TotalAdv,0.015650271037382504
InttType,CURQTRINT,0.009406546859160635
InttType,GLProduct,0.10127692138820515
InttType,PRVQTRINT,0.006865115672832054
InttType,RvPrimary,-0.00004493382576283122
InttType,Unsecured,-0.006280882656321681
InttType,CoverGovGur,-0.00034738812169542827
InttType,DepValPlant,-0.0009078885768333405
InttType,ACCTotalProv,0.005748503085883864
InttType,BaselCatMark,-0.01086051635380276
InttType,CURRENTLIMIT,0.04565346931104692
InttType,CurQtrCredit,0.02193447812918935
InttType,DRAWINGPOWER,-0.0002428429512493722
InttType,PREQTRCREDIT,0.0005715604960868374
InttType,UnAdjSubSidy,-0.00040607384317224666
InttType,UnappliedInt,0.042347340501714785
InttType,ProvUnsecured,0.017744700754117874
InttType,TotalWriteOff,0.026447523697233896
InttType,AppropriatedRv,-0.00016473850123032975
InttType,OrgCostOfEquip,0.01884865313947454
InttType,TotLimitFunded,0.048297316641367764
InttType,Cust_AssetClass,0.008545071711689032
InttType,LimitSanctioned,0.03726731370033025
InttType,PriCashSecurity,0.0018914762929445107
InttType,CollCashSecurity,0.0036931900901244854
