ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
100578675_084457023815_2015-12-31,0.1,0.9603,580000000.0,0.8255,0.0313,226705721.0,39.09,1.0,0.0
106284479_130254031268_2017-03-31,0.0,0.9997,2500000.0,0.9672,0.0003,8645.0,0.35,1.0,0.0
001694666_0640PCL00441_2018-03-31,0.0,0.998,2329226.0,1.0,0.002,58784.0,2.52,0.0,0.0
006223204_061151000146_2017-06-30,0.0,0.9945,550000.0,0.8711,0.0047,32399.0,5.89,9.0,1.0
014029115_034554001420_2017-03-31,0.0,0.9996,50000.0,0.9672,0.0004,260.0,0.52,42.0,4.0
104738738_034213031116_2017-06-30,0.0,0.9937,1193516.0,0.9589,0.0059,88609.0,7.42,4.0,0.0
108294103_145554031002_2016-03-31,0.3,0.8602,200000.0,0.1724,0.0209,52299.0,26.15,20.0,2.0
104779932_034213031112_2016-09-30,7.2,0.0128,1093516.0,0.8769,0.0496,678513.0,62.05,14.0,0.0
003329220_060351000078_2017-03-31,0.0,0.9994,327000.0,0.8572,0.0005,2126.0,0.65,10.0,1.0
003329222_060351000079_2016-03-31,0.0,0.9999,63300.0,0.4904,0.0001,55.0,0.09,19.0,2.0
001694666_0640PCL00498_2018-03-31,0.0,0.998,2137626.0,1.0,0.0019,51945.0,2.43,1.0,0.0
014029227_034554031077_2016-09-30,0.0,0.9989,75000.0,0.6466,0.0007,639.0,0.85,31.0,3.0
014145003_034613001026_2017-06-30,0.0,0.9987,1063516.0,0.9803,0.0013,17238.0,1.62,30.0,3.0
104714068_060351024022_2015-09-30,4.0,0.1102,140000.0,0.8966,0.1253,219307.0,156.65,1.0,0.0
104948898_034254031182_2015-12-31,0.0,0.9996,31500.0,0.8047,0.0003,133.0,0.42,77.0,8.0
003329225_060351000082_2016-03-31,0.0,0.9999,31500.0,1.0,0.0001,33.0,0.1,1.0,0.0
003329225_060351000082_2018-06-30,0.2,0.9174,46000.0,0.7327,0.0554,31867.0,69.28,33.0,3.0
113770363_133751031239_2016-09-30,0.0,0.9923,293750.0,0.7496,0.0057,20937.0,7.13,1.0,0.0
100557841_060351023815_2015-12-31,2.1,0.3309,46000.0,0.4898,0.1312,75432.0,163.98,41.0,4.0
114224191_133751031242_2016-03-31,0.0,0.9918,132000.0,0.0,0.0,0.0,0.0,94.0,9.0
