GL,Age,CAD,Area,CADU,Caste,Scheme,UsedRv,Balance,Product,TotOsNF,Activity,AdhocAmt,District,InttRate,InttType,Religion,TotalAdv,AppGovGur,CURQTRINT,GLProduct,PRVQTRINT,RvPrimary,SubSector,Unsecured,Occupation,TotLimitNF,CoverGovGur,DepValPlant,FORMATGROUP,ACCTotalProv,BaselCatMark,CURRENTLIMIT,Constitution,CurQtrCredit,DRAWINGPOWER,FACILITYTYPE,PREQTRCREDIT,ProcessingDt,UnAdjSubSidy,UnappliedInt,ProvUnsecured,TotalWriteOff,AppropriatedRv,CUSTOMERSTATUS,OrgCostOfEquip,TotLimitFunded,Cust_AssetClass,LimitSanctioned,PriCashSecurity,CollCashSecurity,FACILITIESSTATUS,CollNonCRMSecurity,NextOneYrFacStatus,OrgCostOfPlantMech
CC-AGRICULTURE ACTIVITIES,52,0,RURAL,0,DATA / VALUE NOT PROVIDED,DENA KIASN CRESDIT CARD– PAIS,1390006,1390005.7,283,0,COTTON,0,GANDHINAGAR,11.5,0,DATA / VALUE NOT PROVIDED,1390005.7,0,291219,194,375843,2280000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,3475,0,2280000,INDIVIDUAL- MALE,0,2280000,CC,2603500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2280000,STD,0,2280000,1,2280000,0,0,STD,0,1,0
TL - TO SSI,37,5356,RURAL,166,SC,ANY OTHER,31756,31755.8,1077,0,ANY OTHER TYPE OF RTL TRADE,2741.8165798845084,SOLAPUR,10.5,0,OTHERS,31755.8,0,0,718,0,60000,SERVICES - MICRO ENTERPRISES,0,OTHERS,0,0,0,C,1588,0,48000,INDIVIDUAL- FEMALE,0,48000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,60000,STD,1000,48000,1,48000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,47.3604653021062,0,SEMI-URBAN,0,DATA / VALUE NOT PROVIDED,ANY OTHER,0,0,206,0,DAIRY,0,BANAS KANTHA,9.728205136408748,20,OTHERS,0,0,0,198,0,10000,AGRICULTURE - LONG TERM,1,FARMER,0,0,0,B,0,0,10000,SHG WOMEN-DIRECT,0,10000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,0,STD,0,10000,1,10000,0,0,STD,0,0,0
TL - TO OTHR PRIOR,45,0,RURAL,750,DATA / VALUE NOT PROVIDED,RAJIV GANDHI GRAMIN NIWA YOJANA-II,61261,61260,570,0,CONSTRUCTION OF HOUSE,2741.8165798845084,KOLHAPUR,10,10,DATA / VALUE NOT PROVIDED,61260,0,0,349,0,90000,HOUSING - PS,0,DATA / VALUE NOT PROVIDED,0,0,0,C,9189,1,90000,INDIVIDUAL- MALE,0,90000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,90000,SUB,0,90000,2,90000,0,0,SUB,0,1,0
CC - OPS,48,0,RURAL,0,OBC,DENA GENERAL CREDIT CARD,0,26106,565,0,COWS,0,GANDHINAGAR,16.5,20,HINDU,26106,0,0,213,7541,37674386.13940598,AGRICULTURE - LONG TERM,26107,OTHERS,0,0,0,B,26107,1,25000,INDIVIDUAL- MALE,0,25000,CC,500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,26107,0,0,LOS,0,25000,6,25000,254566.47300702962,8444.205467885426,LOS,2035593.8648014432,1,0
CC-AGRICULTURE ACTIVITIES,49,0,RURAL,0,CASTE NOT DECLARED,KISAN CREDIT CARD,38602,38602.33,283,0,SUGARCANE,0,SOLAPUR,12,0,HINDU,38602.33,0,7391,194,17304,50000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,97,0,30000,INDIVIDUAL- MALE,1067,30000,CC,177293,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,50000,STD,0,30000,1,30000,0,0,STD,0,0,0
OD-TRADE AND SERVICES,48,0,RURAL,0,ST,DENA GENERAL CREDIT CARD,7810,7810,220,0,OTHER CASH CROPS,0,CHHOTAUDEPUR,12,0,HINDU,7810,0,0,231,1612,25000,AGRICULTURE - SHORT TERM,7810,FARMER,0,0,0,B,7810,1,25000,INDIVIDUAL- MALE,1802,25000,OD,18000,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,7810,0,25000,LOS,0,25000,6,25000,0,0,LOS,0,1,0
CC-AGRICULTURE ACTIVITIES,37,0,RURAL,0,GENERAL,KISAN CREDIT CARD,242214,242214,283,0,SUGARCANE,0,SOLAPUR,11.7,0,OTHERS,242214,0,25778,194,19724,500000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,606,0,240000,INDIVIDUAL- MALE,252927,240000,CC,778956,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,500000,STD,0,240000,1,230000,0,0,STD,0,0,0
TL - TO AGRICULTURE,73,0,SEMI-URBAN,0,GENERAL,TRACTORS UNDER TIE-UP  ARRANGEMENT WITH ITL,316227,316226.62,619,0,TRACTORS,2741.8165798845084,GANDHINAGAR,10.45,0,HINDU,1061285.62,0,0,323,0,2700000,AGRICULTURE - LONG TERM,0,OTHERS,0,0,0,C,791,0,460000,INDIVIDUAL- MALE,0,460000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,804507,STD,0,1362000,1,460000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,79,0,SEMI-URBAN,0,GENERAL,KISAN CREDIT CARD,105074,105074,283,0,SUGARCANE,0,KOLHAPUR,9.728205136408748,0,HINDU,313814.88,0,15351,194,18827,665000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,263,0,100000,INDIVIDUAL- MALE,110201,100000,CC,388896,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,222661,STD,0,443000,1,100000,0,0,STD,0,0,0
