D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
5.5,0.09599566664342042,91,94021940.7486654,0.9310898424508716,0.12058139728159091,139663184.42499736,148.54318397695891,5940.383524405775
5.6,0.0918491990202003,90,80910787.54272811,0.9234449779433715,0.11694877117695981,115744966.83039829,143.05257722188728,136807.5601275524
5.7,0.08717571789616937,111,118956869.63633373,0.917460988198621,0.11328756755244364,164962797.6971254,138.6744609213723,11566.226690613505
5.8,0.08312485476857738,95,96016095.3608436,0.9218057991740735,0.11138054427812974,129983197.26396614,135.37646659705212,1951.6036281377196
5.9,0.07925110174122676,93,94273368.5134384,0.9318464948740658,0.11033723967221931,130258747.05747515,138.1713087285166,14837.3758704458
6.0,0.07501944791939523,90,196532463.86868602,0.9228087270333264,0.10690313853169892,270982757.17837924,137.88193148559796,1807.1520362758556
6.1,0.07172858580408326,83,95181409.60962823,0.9176836858906064,0.1045482857164261,117750987.14342885,123.71216987263188,11780.61560643895
6.2,0.06811648488044739,100,111557216.06775056,0.9294143287319457,0.10394250090113225,142933313.27405307,128.12556490047876,173394.08506894362
6.3,0.06481656194040455,97,159898091.92583865,0.9333949979495487,0.10267929112538146,204742205.9582982,128.04543412141427,67951.7921453403
6.4,0.061688688007139024,84,86014558.54201473,0.9364579537414968,0.10142420517672648,108473746.37315348,126.11091449149077,3367.038295317797
6.5,0.0584530209041672,81,79990839.09438752,0.9181934568102552,0.09785317864046203,95346507.20396028,119.19678338597424,1814.1286364171926
6.6,0.05573817828998846,85,82912977.34010965,0.9207819745437625,0.09680565890485304,99127614.86313948,119.55621187804807,2047.0360500504412
6.7,0.05314160023390511,81,82780525.60010278,0.9189640423132072,0.09533429723663363,96853923.77413648,117.00085626662926,2462.528107477097
6.8,0.05019137981746878,84,86001003.35154018,0.9257611604601456,0.09457665109737028,100846574.37732472,117.26209049573684,2992.6005189277344
6.9,0.047917685012022655,75,84987447.25344527,0.9114433069946244,0.0919777954440749,96339780.75384535,113.35765912175916,1865.5755505380293
7.0,0.0454765984416008,75,96818860.61915368,0.9432699816266541,0.09387856581939152,112150633.54467022,115.8355229833013,929.5976797160973
7.1,0.04309558701040088,69,69602101.36009595,0.8949418558732377,0.08780559945331853,75481280.31230189,108.44684116904634,2652.4223022416572
7.2,0.040853497366626544,77,98853706.89629264,0.9227948784540927,0.08925392815394363,106494951.6143748,107.72985147243755,3044.4785412954866
7.3,0.038842518406454474,64,78519033.74485523,0.8990869848275906,0.08577912884886466,84562176.82169601,107.69640530279291,922.6451105616613
7.4,0.03683646835593714,72,71572211.9658112,0.9416941210769841,0.08849532524467778,78462542.72177237,109.62710326635228,294731.0955044577
7.5,0.035031883887225584,62,69422719.28389241,0.9251643004038581,0.08566754248766352,74144018.77694596,106.80079884763171,559.4089412573851
7.6,0.03307181456382724,69,70144114.11437383,0.9324153831879864,0.08482872675673592,73666530.59768607,105.02168503770501,5858.77744686575
7.7,0.03145422260550892,68,74385715.1677163,0.9631174850912751,0.08623171884713968,79949484.68688743,107.47962092805936,1068.5271961548208
7.8,0.029829523452217618,63,62523989.687702574,0.9360240491084932,0.08232820957989184,64043734.527468845,102.43065877170851,828.1693599141671
7.9,0.02817431687196689,67,75346123.15819086,0.9259993694965908,0.07983286205264978,75417234.5547764,100.09437963574614,307.6309649815207
8.0,0.011013256496331988,2171,2388360696.5691,0.962864612398523,0.042732097137041215,1269166920.3930616,53.139666978117276,6872285.593928057
